"id","分類","機能名","概要","入力","出力","利用者"
"fun-001","認証・ユーザー管理","Google OAuthログイン","Googleアカウントを利用した認証を行い、ユーザーセッションを開始する。","Googleアカウント認証情報","認証トークン、ログインセッション","借り手, 貸し手"
"fun-002","認証・ユーザー管理","ユーザー登録（初期化）","新規ユーザーに対し、システム内での基本プロファイルを生成する。","氏名、メールアドレス（Google提供）","ユーザーID、初期プロフィール","借り手, 貸し手"
"fun-003","認証・ユーザー管理","プロフィール閲覧","自身の登録情報（名前、アイコン、連絡先、自己紹介）を表示する。","ユーザーID","プロフィール表示項目","借り手, 貸し手"
"fun-004","認証・ユーザー管理","プロフィール編集","自身のプロフィール情報やアイコン画像を変更する。","変更後のプロフィール項目、画像データ","更新完了通知、更新済みプロフィール","借り手, 貸し手"
"fun-005","認証・ユーザー管理","ログアウト機能","現在のセッションを破棄し、安全にシステムから離脱する。","ログアウト要求","セッション破棄、ログイン画面への遷移","借り手, 貸し手, システム管理者"
"fun-006","物件管理","物件情報登録","空き家・空き地の詳細情報（タイトル、説明、カテゴリ、価格、住所）を登録する。","物件詳細データ","登録完了メッセージ、物件ID","貸し手"
"fun-007","物件管理","物件画像アップロード","物件紹介用の写真を複数枚アップロードし、クラウドストレージに保存する。","画像ファイル（JPEG/PNG等）","保存済み画像URL","貸し手"
"fun-008","物件管理","物件情報編集","登録済みの物件内容や価格設定を更新する。","更新後の物件データ","更新反映通知","貸し手"
"fun-009","物件管理","物件削除・公開停止","物件を検索結果から非表示にする、またはデータベースから削除する。","削除/非公開フラグ","ステータス更新通知","貸し手"
"fun-010","物件管理","貸出可能カレンダー設定","特定の日時を貸出可能または予約不可としてカレンダー上で設定する。","選択された日付、時間帯、ステータス","更新されたカレンダー情報","貸し手"
"fun-011","物件管理","物件ルール・ガイド情報設定","利用上の注意事項や鍵の受け渡し方法などのガイド原稿を登録する。","テキスト情報、手順画像","保存済みガイドデータ","貸し手"
"fun-012","物件管理","お気に入り登録・解除","気になる物件を自身のリストに保存、またはリストから削除する。","物件ID","お気に入りステータス変更","借り手"
"fun-013","検索・予約","エリア検索機能","都道府県やキーワードから、場所に基づいた物件検索を行う。","検索キーワード、位置情報","合致する物件一覧","借り手"
"fun-014","検索・予約","利用目的フィルタリング","キャンプ、DIY、撮影などのタグで検索結果を絞り込む。","カテゴリタグの選択","絞り込み後の物件一覧","借り手"
"fun-015","検索・予約","空き状況確認","物件詳細画面で、特定の日時が予約可能かカレンダー表示する。","物件ID、月指定","カレンダー形式の予約可否状況","借り手"
"fun-016","検索・予約","予約リクエスト送信","日時、人数、利用目的を指定してオーナーに承認申請を送る。","予約希望日時、利用目的、借り手ID","リクエスト完了画面、オーナーへの通知トリガー","借り手"
"fun-017","検索・予約","予約リクエスト一覧表示（貸し手）","自身が所有する物件に届いた承認待ちリクエストを表示する。","ユーザーID（貸し手）","承認待ち予約リスト","貸し手"
"fun-018","検索・予約","予約承認処理","届いたリクエストを承諾し、予約を確定させる。","予約ID","予約ステータス「確定」、決済処理実行","貸し手"
"fun-019","検索・予約","予約却下処理","届いたリクエストを拒否し、その旨を借り手に通知する。","予約ID、拒否理由（任意）","予約ステータス「キャンセル」、却下通知","貸し手"
"fun-020","検索・予約","予約ステータス追跡","自身の予約履歴と現在の状態（承認待ち/確定/完了/キャンセル）を確認する。","ユーザーID（借り手）","予約状況一覧","借り手"
"fun-021","決済・ポイント","新規登録時ポイント付与","ユーザー登録完了時に、初期ポイント 100,000 LP を付与する。","ユーザー登録イベント","ポイント残高加算","システム"
